{2, 15}
{8, 4095}
AP, com.santander.app, 11/15 19:17:55.319, 11/15 19:17:57.505, 0, 3, 0, D
AP, br.jus.tse.eleitoral.etitulo, 11/15 19:39:34.763, 11/15 19:39:37.908, 0, 4, 0, D
AP, br.com.serasaexperian.consumidor, 11/15 19:41:24.272, 11/15 19:41:25.754, 0, 4, 0, D
AP, com.santander.app, 11/16 12:05:22.152, 11/16 12:05:25.080, 0, 4, 0, D
AP, com.santander.app, 11/16 17:28:49.582, 11/16 17:28:53.661, 0, 5, 0, E
AP, com.santander.app, 11/16 17:31:21.014, 11/16 17:31:24.887, 0, 4, 0, D
AP, br.jus.tse.eleitoral.etitulo, 11/17 08:05:04.236, 11/17 08:05:12.352, 0, 4, 0, D
AP, com.santander.app, 11/18 15:23:38.473, 11/18 15:23:40.922, 0, 4, 0, D
AP, br.com.santander.way, 11/20 19:26:04.406, 11/20 19:26:06.744, 0, 4, 0, D
AP, br.com.santander.way, 11/21 19:47:39.022, 11/21 19:47:47.208, 0, 3, 0, D

